workload,gpu,problem_size,variant,stage,tile_size,time_ms,gflops,correct,max_abs_error
gemm,H100_SXM5,2048,Ref,0,32,0.345696,49696.464733,1,0.000000
gemm,H100_SXM5,2048,V1,1,32,1.773792,9685.390908,1,0.000000
gemm,H100_SXM5,2048,V0,0,32,3.180192,5402.148429,1,0.000000
gemm,H100_SXM5,2048,V3,2,32,1.804176,9522.279907,1,0.000000
gemm,H100_SXM5,2048,V3,3,32,1.809216,9495.753706,1,0.000000
gemm,H100_SXM5,2048,V3,4,32,1.773120,9689.061508,1,0.000000
gemm,H100_SXM5,2048,Ref,0,64,0.345696,49696.464733,1,0.000000
gemm,H100_SXM5,2048,V1,1,64,0.914352,18789.119714,1,0.000000
gemm,H100_SXM5,2048,V0,0,64,3.179504,5403.317305,1,0.000000
gemm,H100_SXM5,2048,V3,2,64,0.942992,18218.467550,1,0.000000
gemm,H100_SXM5,2048,V3,3,64,1.092144,15730.406419,1,0.000000
gemm,H100_SXM5,2048,V3,4,64,1.570240,10940.919610,1,0.000000
gemm,H100_SXM5,2048,Ref,0,128,0.345696,49696.464733,1,0.000000
gemm,H100_SXM5,2048,V1,1,128,0.860672,19960.994714,1,0.000000
gemm,H100_SXM5,2048,V0,0,128,3.178768,5404.568366,1,0.000000
gemm,H100_SXM5,3072,Ref,0,16,1.289184,44975.780783,1,0.000000
gemm,H100_SXM5,3072,V1,1,16,12.343808,4697.258551,1,0.000000
gemm,H100_SXM5,3072,V0,0,16,10.801200,5368.112706,1,0.000000
gemm,H100_SXM5,3072,V3,2,16,13.267936,4370.088723,1,0.000000
gemm,H100_SXM5,3072,V3,3,16,13.946624,4157.426008,1,0.000000
gemm,H100_SXM5,3072,V3,4,16,13.572096,4272.152146,1,0.000000
gemm,H100_SXM5,3072,Ref,0,32,1.289184,44975.780783,1,0.000000
gemm,H100_SXM5,3072,V1,1,32,5.796432,10003.060624,1,0.000000
gemm,H100_SXM5,3072,V0,0,32,10.807216,5365.124339,1,0.000000
gemm,H100_SXM5,3072,V3,2,32,5.905280,9818.680863,1,0.000000
gemm,H100_SXM5,3072,V3,3,32,5.934832,9769.789589,1,0.000000
gemm,H100_SXM5,3072,V3,4,32,5.798944,9998.727101,1,0.000000
gemm,H100_SXM5,3072,Ref,0,64,1.289184,44975.780783,1,0.000000
gemm,H100_SXM5,3072,V1,1,64,3.013696,19239.518305,1,0.000000
gemm,H100_SXM5,3072,V0,0,64,10.808192,5364.640052,1,0.000000
gemm,H100_SXM5,3072,V3,2,64,3.111952,18632.054569,1,0.000000
gemm,H100_SXM5,3072,V3,3,64,3.800960,15254.582879,1,0.000000
gemm,H100_SXM5,3072,V3,4,64,5.968800,9714.190483,1,0.000000
gemm,H100_SXM5,3072,Ref,0,128,1.289184,44975.780783,1,0.000000
gemm,H100_SXM5,3072,V1,1,128,3.191104,18169.905986,1,0.000000
gemm,H100_SXM5,3072,V0,0,128,10.799040,5369.186460,1,0.000000
gemm,H100_SXM5,4096,Ref,0,16,2.658048,51706.723027,1,0.000000
gemm,H100_SXM5,4096,V1,1,16,29.292160,4692.004731,1,0.000000
gemm,H100_SXM5,4096,V0,0,16,25.952767,5295.734035,1,0.000000
gemm,H100_SXM5,4096,V3,2,16,31.939888,4303.050576,1,0.000000
gemm,H100_SXM5,4096,V3,3,16,33.400415,4114.887547,1,0.000000
gemm,H100_SXM5,4096,V3,4,16,32.245745,4262.235366,1,0.000000
gemm,H100_SXM5,4096,Ref,0,32,2.658048,51706.723027,1,0.000000
gemm,H100_SXM5,4096,V1,1,32,13.708256,10025.998276,1,0.000000
gemm,H100_SXM5,4096,V0,0,32,25.956592,5294.953804,1,0.000000
gemm,H100_SXM5,4096,V3,2,32,13.992976,9821.996143,1,0.000000
gemm,H100_SXM5,4096,V3,3,32,14.080448,9760.978628,1,0.000000
gemm,H100_SXM5,4096,V3,4,32,13.748880,9996.374222,1,0.000000
gemm,H100_SXM5,4096,Ref,0,64,2.658048,51706.723027,1,0.000000
gemm,H100_SXM5,4096,V1,1,64,7.054208,19483.257750,1,0.000000
gemm,H100_SXM5,4096,V0,0,64,25.954432,5295.394480,1,0.000000
gemm,H100_SXM5,4096,V3,2,64,7.242576,18976.528676,1,0.000000
gemm,H100_SXM5,4096,V3,3,64,8.601472,15978.538026,1,0.000000
gemm,H100_SXM5,4096,V3,4,64,14.122096,9732.192224,1,0.000000
gemm,H100_SXM5,4096,Ref,0,128,2.658048,51706.723027,1,0.000000
gemm,H100_SXM5,4096,V1,1,128,6.693840,20532.153879,1,0.000000
gemm,H100_SXM5,4096,V0,0,128,25.954737,5295.332217,1,0.000000
